S.No,DOI,Publication,Title,Authors,Year,Theme,Key Findings,DOI_Link,Combined_Text,Cluster,Research Question,Similarity Score
2,10.1007/s44163-026-00899-9,Discover Artificial Intelligence,AI-driven early warning systems for real estate bubbles,Omar Al-Amary,2026,Credit Risk & EWS,AI EWS outperform traditional indicators using nonlinear macro-financial dynamics.,,AI-driven early warning systems for real estate bubbles AI EWS outperform traditional indicators using nonlinear macro-financial dynamics.,1.0,No Match (Below Threshold),0.0
3,,Journal of Informatics Education and Research,Artificial Intelligence (AI) Revolution in Real Estate and REITs,Siddhant Walia et al.,2024,AI in Real Estate,"AI research accelerated in valuation, predictive analytics, and decision support.",,"Artificial Intelligence (AI) Revolution in Real Estate and REITs AI research accelerated in valuation, predictive analytics, and decision support.",1.0,RQ-4,0.12274348609183414
4,,Unknown / Governance Literature,Innovating with Confidence: Embedding AI Governance and Fairness,Michelle Seng Ah Lee; Luciano Floridi; Alexander Denev,2020,Governance & Model Risk,AI governance requires enterprise-wide control frameworks.,,Innovating with Confidence: Embedding AI Governance and Fairness AI governance requires enterprise-wide control frameworks.,0.0,No Match (Below Threshold),0.0
5,,Unknown,ssrn-1401750,Unknown,Unknown,Unresolved,Metadata unresolved.,,ssrn-1401750 Metadata unresolved.,1.0,No Match (Below Threshold),0.0
6,,Likely Real Estate Finance,Can Regulation De-bias Appraisers?,Sumit Agarwal; Brent Ambrose; Vincent Yao,Unknown,Macroprudential / Valuation,HVCC reduced inflated refinance appraisals.,,Can Regulation De-bias Appraisers? HVCC reduced inflated refinance appraisals.,2.0,No Match (Below Threshold),0.0
7,,Federal Reserve / OCC,Supervisory Guidance on Model Risk Management,Federal Reserve + OCC,2011,Governance & Model Risk,Enterprise-wide model governance principles established.,,Supervisory Guidance on Model Risk Management Enterprise-wide model governance principles established.,3.0,No Match (Below Threshold),0.0
8,,World Bank,Disaster Risk Financing and Contingent Credit,Daniel Clarke; Olivier Mahul,2011,Risk Financing,Contingent credit improves sovereign resilience.,,Disaster Risk Financing and Contingent Credit Contingent credit improves sovereign resilience.,0.0,No Match (Below Threshold),0.0
9,,BIS Working Papers,Towards a macroprudential framework for financial supervision and regulation?,Claudio Borio,2003,Macroprudential Regulation,Financial stability requires macroprudential orientation.,,Towards a macroprudential framework for financial supervision and regulation? Financial stability requires macroprudential orientation.,2.0,No Match (Below Threshold),0.0
10,,Likely Real Estate Finance,Can Regulation De-bias Appraisers?,Sumit Agarwal; Brent Ambrose; Vincent Yao,Unknown,Duplicate,Duplicate of Entry 6,,Can Regulation De-bias Appraisers? Duplicate of Entry 6,2.0,No Match (Below Threshold),0.0
11,10.1007/s11846-016-0201-4,Review of Managerial Science,Drivers of internationalization success,Sascha Kraus et al.,2017,Strategic Finance,Strategic factors dominate structural factors in SME success.,,Drivers of internationalization success Strategic factors dominate structural factors in SME success.,4.0,RQ-2,0.38025559046012325
12,,Unknown,paper,Unknown,Unknown,Placeholder,Placeholder metadata.,,paper Placeholder metadata.,1.0,No Match (Below Threshold),0.0
13,10.35629/8028-12025772,IJBMI,VRIO Analysis Framework in Project Management,Eng Waleed Akhtar; M Sultan,2023,Strategic Frameworks,VRIO improves resource allocation and risk management.,,VRIO Analysis Framework in Project Management VRIO improves resource allocation and risk management.,1.0,No Match (Below Threshold),0.0
14,,BCBS,Guidance on credit risk and accounting for expected credit losses,BCBS,2015,Credit Risk Governance,Forward-looking ECL governance emphasized.,,Guidance on credit risk and accounting for expected credit losses Forward-looking ECL governance emphasized.,0.0,No Match (Below Threshold),0.0
15,,Cengage,Commercial real estate: analysis & investments,David Geltner,2007,CRE Investment,Foundational CRE valuation and investment framework.,,Commercial real estate: analysis & investments Foundational CRE valuation and investment framework.,1.0,RQ-4,0.16698925942642434
